rating,title,author,date,helpful_votes,clean_review,pos_counts,constituency_tree,dependency_tree,named_entities
10.0,Cinematic masterpiece,jjqqhnqhg,"Jul 19, 2023",,cinemat masterpiec,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('cinemat masterpiec', 'ROOT', 'masterpiec')]","[('cinemat', 'compound', 'masterpiec'), ('masterpiec', 'ROOT', 'masterpiec')]",{}
6.0,Quite boring,stefannovak,"Jul 22, 2023",,quit bore,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('bore', 'dobj', 'quit')]","[('quit', 'ROOT', 'quit'), ('bore', 'dobj', 'quit')]",{}
8.0,"Good movie, but don't let Nolan fans fool you.",davidpayne-18586,"Jul 24, 2023",,good movi dont let nolan fan fool,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('good movi', 'nsubj', 'let'), ('nolan fan fool', 'dobj', 'let')]","[('good', 'amod', 'movi'), ('movi', 'nsubj', 'let'), ('do', 'aux', 'let'), ('nt', 'neg', 'let'), ('let', 'ROOT', 'let'), ('nolan', 'compound', 'fan'), ('fan', 'compound', 'fool'), ('fool', 'dobj', 'let')]",{}
6.0,Too loud and too long,andy_c_les,"Aug 3, 2023",,loud long,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('loud', 'ROOT', 'loud')]","[('loud', 'ROOT', 'loud'), ('long', 'advmod', 'loud')]",{}
5.0,Less would have been more,wxqyaxr,"Jul 23, 2023",,less would,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}",[],"[('less', 'advmod', 'would'), ('would', 'ROOT', 'would')]",{}
,Oppen-bore-mer,dweston-38669,"Jul 25, 2023",,oppenborem,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('oppenborem', 'ROOT', 'oppenborem')]","[('oppenborem', 'ROOT', 'oppenborem')]",{'ORG': 1}
10.0,A brilliant masterpiece that cuts to the core of human fear,show24studio,"Jul 19, 2023",,brilliant masterpiec cut core human fear,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('brilliant masterpiec', 'nsubj', 'cut'), ('core human fear', 'dobj', 'cut')]","[('brilliant', 'amod', 'masterpiec'), ('masterpiec', 'nsubj', 'cut'), ('cut', 'ROOT', 'cut'), ('core', 'amod', 'fear'), ('human', 'amod', 'fear'), ('fear', 'dobj', 'cut')]",{}
10.0,The tale of the American Prometheus,gnperuti,"Sep 18, 2024",,tale american prometheu,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('tale american prometheu', 'ROOT', 'prometheu')]","[('tale', 'compound', 'prometheu'), ('american', 'compound', 'prometheu'), ('prometheu', 'ROOT', 'prometheu')]",{'NORP': 1}
10.0,Murphy and Nolan - An Explosive Combination,marcelbenoitdeux,"Dec 27, 2023",,murphi nolan explos combin,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('nolan explos', 'dobj', 'murphi')]","[('murphi', 'amod', 'combin'), ('nolan', 'compound', 'explos'), ('explos', 'dobj', 'murphi'), ('combin', 'ROOT', 'combin')]",{'PERSON': 1}
10.0,FUTURE CLASSIC and EXTREMELY IMPORTANT MOVIE FOR THE PRESENT DAY,adrianwbowman,"Jul 19, 2023",,futur classic extrem import movi present day,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('futur classic extrem import movi', 'ROOT', 'movi')]","[('futur', 'compound', 'extrem'), ('classic', 'amod', 'extrem'), ('extrem', 'compound', 'movi'), ('import', 'compound', 'movi'), ('movi', 'ROOT', 'movi'), ('present', 'amod', 'day'), ('day', 'npadvmod', 'movi')]",{}
8.0,This movie is the bomb!,zeki-4,"Jul 20, 2023",,movi bomb,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('movi bomb', 'ROOT', 'bomb')]","[('movi', 'compound', 'bomb'), ('bomb', 'ROOT', 'bomb')]",{}
8.0,Not really sure what to think.,drpeppers04,"Jul 22, 2023",,realli sure think,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('realli', 'nsubj', 'think')]","[('realli', 'nsubj', 'think'), ('sure', 'advmod', 'think'), ('think', 'ROOT', 'think')]",{}
7.0,I Wish I Could Say I Had A Blast,JustStone,"Jul 22, 2023",,wish could say blast,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('blast', 'dobj', 'say')]","[('wish', 'nsubj', 'say'), ('could', 'aux', 'say'), ('say', 'ROOT', 'say'), ('blast', 'dobj', 'say')]",{}
10.0,This is really a great movie by Christopher Nolan,azwamuzakki,"Jul 19, 2023",,realli great movi christoph nolan,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('realli great movi christoph nolan', 'ROOT', 'nolan')]","[('realli', 'compound', 'nolan'), ('great', 'amod', 'movi'), ('movi', 'compound', 'christoph'), ('christoph', 'compound', 'nolan'), ('nolan', 'ROOT', 'nolan')]",{'ORG': 1}
6.0,"No doubt a well made story, but overall, was just boring",ryan-beauchesne,"Aug 13, 2023",,doubt well made stori overal bore,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('stori', 'nsubj', 'bore')]","[('doubt', 'advmod', 'made'), ('well', 'advmod', 'made'), ('made', 'ROOT', 'made'), ('stori', 'nsubj', 'bore'), ('overal', 'amod', 'bore'), ('bore', 'ccomp', 'made')]",{}
4.0,no amount of dramatic music or quick cuts could convince me I was being entertained,JordanSatmary,"Aug 4, 2023",,amount dramat music quick cut could convinc entertain,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('amount dramat music', 'nsubj', 'entertain'), ('quick cut', 'appos', 'music'), ('convinc', 'nsubj', 'entertain')]","[('amount', 'compound', 'music'), ('dramat', 'compound', 'music'), ('music', 'nsubj', 'entertain'), ('quick', 'amod', 'cut'), ('cut', 'appos', 'music'), ('could', 'aux', 'entertain'), ('convinc', 'nsubj', 'entertain'), ('entertain', 'ROOT', 'entertain')]",{}
,Mixed feelings,lone_samurai678,"Jul 21, 2023",,mix feel,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('mix', 'nsubj', 'feel')]","[('mix', 'nsubj', 'feel'), ('feel', 'ROOT', 'feel')]",{}
8.0,Oppenheimer is a movie that is definitely not my type and the topic isn't something I'm mostly interested in that nevertheless almost touches cinematical perfection.,ANGRYSPNGGAMER55,"Aug 31, 2024",,oppenheim movi definit type topic isnt someth im mostli interest nevertheless almost touch cinemat perfect,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('oppenheim movi definit type topic', 'nsubj', 'is'), ('i', 'nsubj', 'm'), ('mostli interest', 'nsubj', 'touch')]","[('oppenheim', 'compound', 'movi'), ('movi', 'compound', 'topic'), ('definit', 'compound', 'topic'), ('type', 'compound', 'topic'), ('topic', 'nsubj', 'is'), ('is', 'ROOT', 'is'), ('nt', 'neg', 'is'), ('someth', 'acomp', 'is'), ('i', 'nsubj', 'm'), ('m', 'npadvmod', 'is'), ('mostli', 'compound', 'interest'), ('interest', 'nsubj', 'touch'), ('nevertheless', 'advmod', 'touch'), ('almost', 'advmod', 'touch'), ('touch', 'ROOT', 'touch'), ('cinemat', 'compound', 'perfect'), ('perfect', 'dobj', 'touch')]","{'ORG': 1, 'PERSON': 1}"
8.0,Cillan is such a great actor. I realised from this.,avinthyasovis,"Sep 14, 2024",,cillan great actor realis,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('great actor realis', 'dobj', 'cillan')]","[('cillan', 'ROOT', 'cillan'), ('great', 'amod', 'realis'), ('actor', 'compound', 'realis'), ('realis', 'dobj', 'cillan')]",{}
10.0,Movie of the Year (?),headbangin_mammoth,"Jul 19, 2023",,movi year,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('movi year', 'ROOT', 'year')]","[('movi', 'compound', 'year'), ('year', 'ROOT', 'year')]",{}
10.0,Film of the decade,hcoe-95812,"Jul 19, 2023",,film decad,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('film decad', 'ROOT', 'decad')]","[('film', 'compound', 'decad'), ('decad', 'ROOT', 'decad')]",{}
10.0,Mr. Nolan is an amazing legend,tmamad,"Jul 19, 2023",,mr nolan amaz legend,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('mr nolan', 'ROOT', 'nolan'), ('amaz legend', 'appos', 'nolan')]","[('mr', 'compound', 'nolan'), ('nolan', 'ROOT', 'nolan'), ('amaz', 'advmod', 'legend'), ('legend', 'appos', 'nolan')]",{}
9.0,"Wistfulness and regrets, and what 1920s physics might have been",anderzzz-1,"Sep 15, 2024",,wist regret physic might,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('wist regret physic', 'nsubj', 'might')]","[('wist', 'compound', 'regret'), ('regret', 'compound', 'physic'), ('physic', 'nsubj', 'might'), ('might', 'ROOT', 'might')]",{}
6.0,Nothing special,Hajdudavid-692-274435,"Jul 23, 2023",,noth special,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('noth special', 'ROOT', 'special')]","[('noth', 'compound', 'special'), ('special', 'ROOT', 'special')]",{}
10.0,WATCH IT IN IMAX!!!,s-s-jewbali,"Jul 20, 2023",,watch imax,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}",[],"[('watch', 'ROOT', 'watch'), ('imax', 'dep', 'watch')]",{}
7.0,Story about a security clearance,gnezzo,"Jul 22, 2023",,stori secur clearanc,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('stori secur clearanc', 'ROOT', 'clearanc')]","[('stori', 'compound', 'secur'), ('secur', 'compound', 'clearanc'), ('clearanc', 'ROOT', 'clearanc')]",{}
5.0,Disappointing,mydummybox,"Aug 25, 2023",,disappoint,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}",[],"[('disappoint', 'ROOT', 'disappoint')]",{}
8.0,"Murphy is Amazing, But Downey Jr Steals The Show",slightlymad22,"Jul 21, 2023",,murphi amaz downey jr steal show,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('downey jr steal show', 'dobj', 'murphi')]","[('murphi', 'ROOT', 'murphi'), ('amaz', 'prt', 'murphi'), ('downey', 'nmod', 'show'), ('jr', 'intj', 'downey'), ('steal', 'amod', 'show'), ('show', 'dobj', 'murphi')]",{}
10.0,Nolan's best so far?,aissammadmoun,"Jul 19, 2023",,nolan best far,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('nolan', 'ROOT', 'nolan')]","[('nolan', 'ROOT', 'nolan'), ('best', 'advmod', 'far'), ('far', 'advmod', 'nolan')]",{}
10.0,"His eyes look full of fear, regrets and guilt!",kennedykevinr,"Jul 20, 2023",,eye look full fear regret guilt,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('full fear regret guilt', 'nsubj', 'look')]","[('eye', 'npadvmod', 'look'), ('look', 'ROOT', 'look'), ('full', 'amod', 'fear'), ('fear', 'compound', 'guilt'), ('regret', 'compound', 'guilt'), ('guilt', 'nsubj', 'look')]",{}
10.0,Hang on tight,sforl-14909,"Sep 28, 2024",,hang tight,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}",[],"[('hang', 'ROOT', 'hang'), ('tight', 'advmod', 'hang')]",{}
10.0,Nolan at possibly his best.,pkwnxgmb,"Sep 25, 2024",,nolan possibl best,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('nolan possibl', 'ROOT', 'possibl')]","[('nolan', 'compound', 'possibl'), ('possibl', 'ROOT', 'possibl'), ('best', 'advmod', 'possibl')]",{'ORG': 1}
10.0,The greatness of Nolan's work,rashidammar-45501,"Jul 19, 2023",,great nolan work,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('great nolan work', 'ROOT', 'work')]","[('great', 'amod', 'work'), ('nolan', 'compound', 'work'), ('work', 'ROOT', 'work')]",{'ORG': 1}
6.0,"Half an Hour too long, misses the point",GoatOfNeptune,"Jul 22, 2023",,half hour long miss point,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('half hour long miss point', 'ROOT', 'point')]","[('half', 'amod', 'hour'), ('hour', 'npadvmod', 'long'), ('long', 'amod', 'point'), ('miss', 'compound', 'point'), ('point', 'ROOT', 'point')]",{'TIME': 1}
10.0,"Now I am become Death, the Destroyer of Worlds.",rayanenaffati,"Jul 19, 2023",,becom death destroy world,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('becom death', 'nsubj', 'destroy'), ('world', 'dobj', 'destroy')]","[('becom', 'compound', 'death'), ('death', 'nsubj', 'destroy'), ('destroy', 'ROOT', 'destroy'), ('world', 'dobj', 'destroy')]",{}
6.0,A Dud,jsdana09,"Jul 23, 2023",,dud,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('dud', 'ROOT', 'dud')]","[('dud', 'ROOT', 'dud')]",{}
2.0,"Bloated, talky, unnecessarily complicated.",heykateforever,"Feb 17, 2024",,bloat talki unnecessarili complic,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('bloat talki unnecessarili complic', 'ROOT', 'complic')]","[('bloat', 'compound', 'complic'), ('talki', 'compound', 'complic'), ('unnecessarili', 'compound', 'complic'), ('complic', 'ROOT', 'complic')]",{'PERSON': 1}
,Overlong and Overcomplicated,TheBigSick,"Jul 28, 2023",,overlong overcompl,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('overlong overcompl', 'ROOT', 'overcompl')]","[('overlong', 'compound', 'overcompl'), ('overcompl', 'ROOT', 'overcompl')]",{}
10.0,Oppenheimer - Jamison Slabaugh,jamisonslabaugh,"Aug 8, 2024",,oppenheim jamison slabaugh,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('oppenheim jamison', 'nsubj', 'slabaugh')]","[('oppenheim', 'compound', 'jamison'), ('jamison', 'nsubj', 'slabaugh'), ('slabaugh', 'ROOT', 'slabaugh')]",{'GPE': 1}
8.0,Mini serie would have been a better way to go,h-i-hussain7,"Jul 22, 2023",,mini seri would better way go,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('mini seri', 'nsubj', 'go')]","[('mini', 'compound', 'seri'), ('seri', 'nsubj', 'go'), ('would', 'aux', 'go'), ('better', 'amod', 'way'), ('way', 'advmod', 'go'), ('go', 'ROOT', 'go')]",{'PERSON': 1}
8.0,Interesting but long,VorpalJay,"Oct 7, 2024",,interest long,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('interest', 'ROOT', 'interest')]","[('interest', 'ROOT', 'interest'), ('long', 'advmod', 'interest')]",{}
8.0,YES BUT...,Miruna_,"Oct 4, 2024",,ye,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}",[],"[('ye', 'ROOT', 'ye')]",{}
10.0,Christopher Nolan is the only filmmaker who can craft an entire series within a three-hour movie!,zaidobe,"Jul 20, 2023",,christoph nolan filmmak craft entir seri within threehour movi,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('christoph nolan filmmak craft', 'nsubj', 'entir'), ('seri', 'dobj', 'entir'), ('threehour movi', 'pobj', 'within')]","[('christoph', 'compound', 'nolan'), ('nolan', 'compound', 'filmmak'), ('filmmak', 'compound', 'craft'), ('craft', 'nsubj', 'entir'), ('entir', 'ROOT', 'entir'), ('seri', 'dobj', 'entir'), ('within', 'prep', 'entir'), ('threehour', 'compound', 'movi'), ('movi', 'pobj', 'within')]","{'PERSON': 1, 'NORP': 1}"
10.0,Stunning - put it in a time capsule,tm-sheehan,"Jul 20, 2023",,stun put time capsul,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('stun', 'nsubj', 'put'), ('time capsul', 'dobj', 'put')]","[('stun', 'nsubj', 'put'), ('put', 'ROOT', 'put'), ('time', 'compound', 'capsul'), ('capsul', 'dobj', 'put')]",{}
6.0,"Too much of telling, less on showing",perfectincision,"Jul 21, 2023",,much tell less show,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}",[],"[('much', 'advmod', 'tell'), ('tell', 'ROOT', 'tell'), ('less', 'amod', 'show'), ('show', 'dobj', 'tell')]",{}
10.0,The one and only masterpiece,nirodhasilva,"Jul 19, 2023",,one masterpiec,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('one masterpiec', 'ROOT', 'masterpiec')]","[('one', 'nummod', 'masterpiec'), ('masterpiec', 'ROOT', 'masterpiec')]",{'CARDINAL': 1}
6.0,"""Property is Theft""... Are you kidding me?",schlomo-jones,"Jul 21, 2023",,properti theft kid,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('properti theft kid', 'ROOT', 'kid')]","[('properti', 'compound', 'theft'), ('theft', 'compound', 'kid'), ('kid', 'ROOT', 'kid')]",{}
5.0,Confusing!,Steveco52,"Aug 26, 2023",,confus,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('confus', 'ROOT', 'confus')]","[('confus', 'ROOT', 'confus')]",{'ORG': 1}
,"No. So disappointed by this grossly overhyped, sad film",Osmiumos,"Mar 7, 2024",,disappoint grossli overhyp sad film,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('grossli overhyp sad film', 'dobj', 'disappoint')]","[('disappoint', 'ROOT', 'disappoint'), ('grossli', 'amod', 'film'), ('overhyp', 'amod', 'film'), ('sad', 'amod', 'film'), ('film', 'dobj', 'disappoint')]",{}
8.0,General takeaway,James_Farr,"Nov 19, 2023",,gener takeaway,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('gener takeaway', 'ROOT', 'takeaway')]","[('gener', 'compound', 'takeaway'), ('takeaway', 'ROOT', 'takeaway')]",{'ORG': 1}
10.0,I'm gonna keep it super simple. This is cinema.,maukaroni,"Jul 26, 2023",,im gonna keep super simpl cinema,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('i', 'nsubj', 'gon'), ('super simpl cinema', 'dobj', 'keep')]","[('i', 'nsubj', 'gon'), ('m', 'aux', 'gon'), ('gon', 'ROOT', 'gon'), ('na', 'aux', 'keep'), ('keep', 'xcomp', 'gon'), ('super', 'amod', 'simpl'), ('simpl', 'compound', 'cinema'), ('cinema', 'dobj', 'keep')]",{}
10.0,BEST MOVIE OF 2023,pwjuly,"Jul 19, 2023",,best movi,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('best movi', 'ROOT', 'movi')]","[('best', 'amod', 'movi'), ('movi', 'ROOT', 'movi')]",{}
10.0,Another masterpiece by Christopher nolan,mythicaldarkz,"Jul 19, 2023",,anoth masterpiec christoph nolan,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('anoth masterpiec christoph nolan', 'ROOT', 'nolan')]","[('anoth', 'advmod', 'nolan'), ('masterpiec', 'compound', 'nolan'), ('christoph', 'compound', 'nolan'), ('nolan', 'ROOT', 'nolan')]",{}
10.0,A sheer Brilliance of Christopher Nolan,CINEBIND,"Jul 20, 2023",,sheer brillianc christoph nolan,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('sheer', 'nsubj', 'brillianc')]","[('sheer', 'nsubj', 'brillianc'), ('brillianc', 'compound', 'nolan'), ('christoph', 'compound', 'nolan'), ('nolan', 'ROOT', 'nolan')]",{'ORG': 1}
6.0,Mostly boring and painful,Hughmanity,"Mar 18, 2024",,mostli bore pain,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('mostli bore pain', 'ROOT', 'pain')]","[('mostli', 'compound', 'pain'), ('bore', 'compound', 'pain'), ('pain', 'ROOT', 'pain')]",{'TIME': 1}
9.0,"If you're a Science Geek, its not for you",aroy-42063,"Jul 23, 2023",,your scienc geek,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('your scienc geek', 'ROOT', 'geek')]","[('your', 'poss', 'geek'), ('scienc', 'amod', 'geek'), ('geek', 'ROOT', 'geek')]",{}
6.0,Overrated,andrenollba,"Sep 2, 2023",,overr,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}",[],"[('overr', 'ROOT', 'overr')]",{}
